
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage"

="overall",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="group_1",="3.386***",="3.379***",="3.396***",="3.420***",="3.417***",="3.430***",="3.481***",="3.463***",="3.501***",="3.501***",="3.533***",="3.556***",="3.554***",="3.543***",="3.559***",="3.578***",="3.593***",="3.590***",="3.591***",="3.642***",="3.600***"
="",="(192.18)",="(173.40)",="(180.76)",="(197.98)",="(188.48)",="(160.51)",="(187.65)",="(158.06)",="(141.30)",="(137.69)",="(174.14)",="(209.46)",="(191.28)",="(188.95)",="(188.11)",="(177.19)",="(188.60)",="(163.98)",="(158.33)",="(169.42)",="(166.45)"

="group_2",="3.214***",="3.180***",="3.215***",="3.248***",="3.263***",="3.287***",="3.321***",="3.318***",="3.340***",="3.373***",="3.380***",="3.390***",="3.394***",="3.409***",="3.375***",="3.414***",="3.400***",="3.416***",="3.445***",="3.497***",="3.500***"
="",="(268.35)",="(182.69)",="(241.96)",="(233.01)",="(219.11)",="(247.45)",="(222.49)",="(238.93)",="(241.61)",="(246.80)",="(281.91)",="(249.18)",="(230.78)",="(280.81)",="(271.06)",="(275.65)",="(230.76)",="(270.06)",="(259.66)",="(248.34)",="(273.18)"

="difference",="0.172***",="0.199***",="0.181***",="0.173***",="0.154***",="0.142***",="0.159***",="0.145***",="0.161***",="0.128***",="0.152***",="0.166***",="0.160***",="0.134***",="0.185***",="0.164***",="0.193***",="0.174***",="0.146***",="0.145***",="0.0992***"
="",="(8.06)",="(7.60)",="(7.86)",="(7.79)",="(6.58)",="(5.66)",="(6.70)",="(5.58)",="(5.67)",="(4.42)",="(6.46)",="(7.64)",="(6.76)",="(6.01)",="(8.15)",="(6.91)",="(8.03)",="(6.89)",="(5.56)",="(5.65)",="(3.95)"

="explained",="0.121***",="0.0881***",="0.108***",="0.122***",="0.106***",="0.0561**",="0.0967***",="0.0946***",="0.0928***",="0.115***",="0.100***",="0.0856***",="0.0673***",="0.0794***",="0.0616***",="0.0840***",="0.0786***",="0.0674***",="0.0854***",="0.103***",="0.0853***"
="",="(5.04)",="(4.65)",="(6.98)",="(5.76)",="(4.99)",="(2.93)",="(5.24)",="(4.53)",="(3.43)",="(4.28)",="(5.44)",="(4.95)",="(3.61)",="(4.60)",="(3.31)",="(4.61)",="(4.17)",="(3.32)",="(4.36)",="(4.96)",="(4.27)"

="unexplained",="0.0510",="0.110***",="0.0732**",="0.0509",="0.0488",="0.0864**",="0.0627*",="0.0502",="0.0680",="0.0125",="0.0522",="0.0807**",="0.0928***",="0.0548*",="0.123***",="0.0797**",="0.115***",="0.107***",="0.0607*",="0.0418",="0.0139"
="",="(1.58)",="(3.65)",="(2.89)",="(1.77)",="(1.64)",="(3.13)",="(2.19)",="(1.53)",="(1.83)",="(0.33)",="(1.68)",="(3.11)",="(3.39)",="(2.26)",="(4.78)",="(2.99)",="(4.30)",="(3.80)",="(2.28)",="(1.28)",="(0.45)"

="N",="2644",="2567",="2550",="2503",="2555",="2581",="2534",="2604",="2691",="2744",="3537",="3531",="3564",="3619",="3591",="3549",="3520",="3507",="3485",="3198",="3207"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
