
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage"

="overall",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="group_1",="3.241***",="3.270***",="3.261***",="3.272***",="3.289***",="3.314***",="3.347***",="3.386***",="3.409***",="3.439***",="3.428***",="3.433***",="3.422***",="3.442***",="3.453***",="3.466***",="3.458***",="3.509***",="3.497***",="3.545***",="3.545***"
="",="(211.13)",="(235.48)",="(219.79)",="(219.71)",="(196.05)",="(219.66)",="(188.58)",="(225.71)",="(233.28)",="(246.86)",="(298.32)",="(258.98)",="(234.02)",="(260.78)",="(253.82)",="(253.62)",="(231.24)",="(263.43)",="(224.85)",="(231.15)",="(277.79)"

="group_2",="3.054***",="3.038***",="3.053***",="3.074***",="3.109***",="3.101***",="3.149***",="3.153***",="3.144***",="3.172***",="3.188***",="3.195***",="3.203***",="3.211***",="3.231***",="3.230***",="3.246***",="3.281***",="3.309***",="3.338***",="3.358***"
="",="(273.14)",="(280.51)",="(246.37)",="(243.67)",="(228.60)",="(196.69)",="(258.14)",="(273.58)",="(163.72)",="(266.60)",="(292.21)",="(318.37)",="(310.14)",="(262.89)",="(254.38)",="(278.45)",="(296.72)",="(273.43)",="(202.84)",="(288.90)",="(257.50)"

="difference",="0.187***",="0.232***",="0.208***",="0.198***",="0.179***",="0.213***",="0.197***",="0.233***",="0.265***",="0.267***",="0.240***",="0.238***",="0.219***",="0.231***",="0.222***",="0.236***",="0.213***",="0.228***",="0.188***",="0.208***",="0.187***"
="",="(9.84)",="(13.18)",="(10.76)",="(10.16)",="(8.31)",="(9.77)",="(9.15)",="(12.34)",="(11.00)",="(14.55)",="(15.17)",="(14.29)",="(12.23)",="(12.85)",="(11.93)",="(13.16)",="(11.47)",="(12.74)",="(8.32)",="(10.81)",="(10.26)"

="explained",="0.0924***",="0.0798***",="0.0956***",="0.0851***",="0.0772***",="0.0955***",="0.114***",="0.0975***",="0.101***",="0.0883***",="0.101***",="0.0919***",="0.0981***",="0.0925***",="0.0892***",="0.0920***",="0.104***",="0.0771***",="0.0791***",="0.0562***",="0.0493***"
="",="(6.28)",="(5.51)",="(5.93)",="(4.38)",="(4.22)",="(6.10)",="(4.82)",="(4.77)",="(5.88)",="(5.98)",="(9.22)",="(5.66)",="(5.85)",="(6.48)",="(4.60)",="(5.74)",="(7.14)",="(5.46)",="(5.46)",="(3.52)",="(3.90)"

="unexplained",="0.0945***",="0.152***",="0.112***",="0.113***",="0.102***",="0.118***",="0.0834*",="0.136***",="0.164***",="0.178***",="0.139***",="0.146***",="0.121***",="0.139***",="0.133***",="0.144***",="0.108***",="0.151***",="0.108***",="0.151***",="0.138***"
="",="(3.88)",="(6.81)",="(4.67)",="(4.10)",="(3.78)",="(4.76)",="(2.48)",="(4.60)",="(5.36)",="(8.00)",="(7.89)",="(6.19)",="(4.57)",="(6.23)",="(4.55)",="(5.81)",="(5.09)",="(7.41)",="(4.19)",="(5.71)",="(6.40)"

="N",="2606",="2468",="2521",="2460",="2571",="2635",="2697",="2727",="2755",="2834",="3648",="3635",="3584",="3663",="3665",="3668",="3717",="3744",="3744",="3534",="3514"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
