="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="overall",="",="",="",="",="",="",="",=""
="group_1",="3.414907",="3.504313",="3.57561",="3.621708",="3.286407",="3.410027",="3.467638",="3.515011"
="",=".0148132",=".0141829",=".0135025",=".0166172",=".0111661",=".0134118",=".0104338",=".0125343"
="group_2",="3.227829",="3.328662",="3.388022",="3.412528",="3.063568",="3.138321",="3.194929",="3.250483"
="",=".0096637",=".0107462",=".010444",=".0110935",=".0089036",=".0107211",=".0082953",=".0104272"
="difference",=".1870777",=".1756514",=".1875876",=".2091794",=".2228388",=".2717063",=".2727088",=".2645277"
="",=".0175083",=".0175969",=".0169083",=".0198592",=".0140924",=".016942",=".0132657",=".0160382"
="explained",=".1161648",=".1290963",=".1012032",=".1112178",=".1151533",=".1237507",=".14037",=".1146348"
="",=".019585",=".0145903",=".0130864",=".0162931",=".0108495",=".0147427",=".0118176",=".0135365"
="unexplained",=".0709129",=".0465551",=".0863844",=".0979616",=".1076854",=".1479556",=".1323388",=".1498929"
="",=".0198654",=".0181034",=".017708",=".0204178",=".0159989",=".0200236",=".0159332",=".0185513"
="N",="11015",="11038",="15315",="12230",="10074",="10501",="14409",="11909"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="t_q1",=".2637934",=".2673792",=".2705324",=".2776113",=".2137997",=".2543523",=".2674826",=".2710877"
="",=".0155841",=".0149565",=".0137833",=".0162614",=".0137843",=".0201439",=".0126107",=".0194574"
="t_q2",=".257819",=".2526836",=".2641126",=".2763184",=".2202954",=".2775494",=".2901043",=".2956326"
="",=".0093429",=".0089554",=".0127513",=".0149033",=".0105212",=".0112118",=".007711",=".0113085"
="t_q3",=".2309743",=".205757",=".229632",=".2428688",=".2572913",=".3106884",=".3211686",=".3086257"
="",=".0089617",=".0102824",=".0110033",=".0151921",=".0085161",=".0094108",=".0086257",=".01217"
="t_q4",=".1487954",=".1157991",=".1291948",=".1489239",=".2435718",=".286825",=".2890074",=".258733"
="",=".0141814",=".0139615",=".0133284",=".0142526",=".008556",=".0106738",=".0108954",=".014224"
="t_q5",=".0298026",=".0128654",="-.0007466",=".0504433",=".1598827",=".1712885",=".1865282",=".1589636"
="",=".0182762",=".0193871",=".0160813",=".020799",=".0152983",=".0143446",=".0135761",=".0205817"
="x_q1",=".1176464",=".1310587",=".1187207",=".1227297",=".1099934",=".1374121",=".1298319",=".1357823"
="",=".0204953",=".0179166",=".0113994",=".0129344",=".0136813",=".0142685",=".0110345",=".0188318"
="x_q2",=".1191118",=".1226688",=".1067278",=".1097939",=".1157255",=".1196277",=".1317337",=".1153095"
="",=".0123365",=".0125495",=".0091636",=".0111233",=".0082602",=".0098293",=".0086551",=".0131321"
="x_q3",=".1287933",=".1258208",=".0989298",=".1030556",=".1217199",=".1231773",=".1423411",=".1172005"
="",=".0085895",=".0103334",=".0069966",=".0110765",=".0073452",=".0081763",=".0083952",=".0084043"
="x_q4",=".1314641",=".1208168",=".0827038",=".0871049",=".1097257",=".1145427",=".1271584",=".1024961"
="",=".008312",=".0096908",=".0075723",=".0099893",=".0077821",=".0090933",=".0074256",=".0104131"
="x_q5",=".1098448",=".1200647",=".0708048",=".0824435",=".0776588",=".090008",=".1061816",=".0751328"
="",=".0097818",=".0150851",=".0108294",=".0119219",=".0105559",=".0136773",=".0092655",=".0159209"
="b_q1",=".146147",=".1363206",=".1518117",=".1548816",=".1038064",=".1169403",=".1376508",=".1353053"
="",=".0247367",=".0218649",=".0191899",=".0198621",=".0194371",=".0250833",=".0179922",=".0334233"
="b_q2",=".1387071",=".1300148",=".1573849",=".1665246",=".1045699",=".1579217",=".1583706",=".180323"
="",=".0131045",=".0136162",=".015054",=".0161776",=".0114873",=".0139393",=".0088875",=".0132063"
="b_q3",=".102181",=".0799362",=".1307022",=".1398132",=".1355714",=".1875111",=".1788275",=".1914252"
="",=".0101307",=".0102509",=".0134448",=".0165285",=".0107165",=".012012",=".0082811",=".0115662"
="b_q4",=".0173313",="-.0050177",=".0464911",=".061819",=".1338461",=".1722823",=".161849",=".1562369"
="",=".0129804",=".0142336",=".0156947",=".016936",=".0109412",=".0128544",=".0089741",=".0151239"
="b_q5",="-.0800423",="-.1071992",="-.0715514",="-.0320002",=".0822239",=".0812805",=".0803466",=".0838309"
="",=".018791",=".0197041",=".0186369",=".0237508",=".0194093",=".0208453",=".0134843",=".0253867"
="N",="11015",="11038",="15315",="12230",="10074",="10501",="14409",="11909"
