="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="sector_public",=".0392279",=".0257338",="",=".1129312",=".0785413",=""
="",=".0133577",=".0123525",="",=".0103724",=".0093318",=""
="experience",=".0224969",=".0218632",=".0234491",=".0208297",=".0189108",=".0234491"
="",=".0019095",=".0017577",=".0019107",=".0018519",=".0016885",=".0019107"
="experience_sq",="-.0003737",="-.0003585",="-.0003936",="-.0003854",="-.0003472",="-.0003936"
="",=".0000375",=".0000346",=".0000375",=".0000437",=".0000396",=".0000375"
="edu_uni",=".3680966",=".2337938",=".380276",=".3292684",=".1854851",=".380276"
="",=".0162551",=".0161291",=".0154341",=".0123633",=".0123549",=".0154341"
="edu_diploma_cert",=".0835329",=".0546663",=".0894271",=".0618592",=".045129",=".0894271"
="",=".0115683",=".0109834",=".0117821",=".0113593",=".010526",=".0117821"
="children_1",=".0164217",=".0203471",="",="-.0183985",="-.0096056",=""
="",=".0121693",=".0112311",="",=".0111747",=".0101927",=""
="children_2",=".0613118",=".0551401",="",=".0105686",=".0088991",=""
="",=".0136727",=".0126039",="",=".0115432",=".0103095",=""
="children_3",=".0671287",=".0702449",="",=".0230531",=".024802",=""
="",=".02169",=".0200896",="",=".0159432",=".0145112",=""
="children_4_plus",=".0184577",=".012435",="",=".0181087",=".0179684",=""
="",=".0296647",=".0270721",="",=".0305948",=".0282968",=""
="health_poor",="-.0733051",="-.0667766",="-.0741906",="-.0528964",="-.0445324",="-.0741906"
="",=".0112128",=".0108502",=".0112282",=".009877",=".0089927",=".0112282"
="birth_eng",=".0519143",=".0427068",=".0606958",=".0342503",=".0274561",=".0606958"
="",=".0179893",=".0170468",=".0182779",=".016279",=".0147064",=".0182779"
="birth_neng",="-.118612",="-.0879543",="-.1133452",="-.0367523",=".0012371",="-.1133452"
="",=".0174178",=".0156205",=".0173293",=".0157474",=".0142733",=".0173293"
="married_yes",=".0902393",=".0835336",=".0923206",=".0327486",=".0330487",=".0923206"
="",=".014133",=".013334",=".0143454",=".0133428",=".0120474",=".0143454"
="married_sep",=".0205934",=".0267819",=".0166051",="-.0114889",=".0058153",=".0166051"
="",=".0257564",=".0221795",=".0255779",=".0175673",=".0156895",=".0255779"
="urban_no",="-.0888109",="-.0761897",="-.094514",="-.0283231",="-.0212677",="-.094514"
="",=".0169127",=".0164934",=".0171883",=".0143199",=".0127618",=".0171883"
="state_VIC",="-.0315929",="-.0293114",="",="-.0446774",="-.0446688",=""
