="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="q1",="",="",="",="",="",=""
="sector_public",=".1561482",=".1213112",="",=".1496875",=".1257883",=""
="",=".0161831",=".0144996",="",=".0111685",=".0115389",=""
="experience",=".0155742",=".0169628",=".0181054",=".0165487",=".015867",=".0187894"
="",=".0024128",=".0024602",=".0020373",=".0018081",=".002192",=".0019194"
="experience_sq",="-.0002682",="-.0002932",="-.0003289",="-.0003312",="-.0003016",="-.000372"
="",=".000046",=".0000502",=".0000392",=".0000405",=".0000495",=".0000438"
="edu_uni",=".2332635",=".1392783",=".273683",=".2281315",=".150168",=".2671355"
="",=".0214953",=".0171322",=".0169844",=".0144803",=".0192309",=".014099"
="edu_diploma_cert",=".0601815",=".0379624",=".0688735",=".0356085",=".0377455",=".0547238"
="",=".0125752",=".0126454",=".0116822",=".0149985",=".015525",=".0140361"
="children_1",=".0006298",=".0077669",="",="-.0216024",="-.0157198",=""
="",=".0148363",=".0142062",="",=".0123659",=".0152224",=""
="children_2",=".0427901",=".0437",="",=".0157533",=".0176222",=""
="",=".0159339",=".0151478",="",=".0124301",=".0150874",=""
="children_3",=".0259993",=".0256602",="",=".0248644",=".014078",=""
="",=".0221278",=".0218775",="",=".018212",=".0167844",=""
="children_4_plus",=".011118",=".0124711",="",="-.0382627",=".0007807",=""
="",=".0293717",=".03253",="",=".0449036",=".0477821",=""
="health_poor",="-.062826",="-.0592285",="-.061635",="-.046548",="-.03514",="-.0487764"
="",=".0131433",=".0131157",=".0120246",=".0131631",=".0140389",=".0157931"
="birth_eng",=".0448384",=".0244031",=".0442777",=".0332428",=".0322565",=".0260678"
="",=".0179372",=".019211",=".0181067",=".0179169",=".0223096",=".0193895"
="birth_neng",="-.0854357",="-.0615021",="-.0924715",="-.0760945",="-.0227532",="-.1027105"
="",=".0173062",=".0181676",=".0203223",=".0183415",=".0165728",=".0149915"
="married_yes",=".0924246",=".0881328",=".0908593",=".0311595",=".0278379",=".0362186"
="",=".0187313",=".0177115",=".0154974",=".0162323",=".0175486",=".0169962"
="married_sep",=".0270232",=".0348213",=".0135412",=".0214481",=".0302921",=".0150257"
="",=".027736",=".0295959",=".0294201",=".0195013",=".0230972",=".0196962"
="urban_no",="-.1012321",="-.1000733",="-.0978544",="-.0326232",="-.0308196",="-.025969"
="",=".0228673",=".023349",=".0207878",=".0223819",=".0187929",=".0224226"
="state_VIC",="-.0262307",="-.0312703",="",="-.037821",="-.0368185",=""
