="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="overall",="",="",="",="",="",=""
="group_1",="3.527822",="3.527822",="3.527822",="3.424234",="3.424234",="3.424234"
="",=".0107762",=".0104283",=".0107836",=".0086825",=".0084665",=".0087002"
="group_2",="3.343271",="3.343271",="3.343271",="3.166123",="3.166123",="3.166123"
="",=".007611",=".0073457",=".0076264",=".0065097",=".0062408",=".0065487"
="difference",=".1845509",=".1845509",=".1845509",=".2581112",=".2581112",=".2581112"
="",=".0129869",=".0125798",=".0129975",=".0106256",=".0103142",=".0106651"
="explained",=".1279576",=".144981",=".1079337",=".1356765",=".1519966",=".1231925"
="",=".0109111",=".013616",=".0104105",=".0088774",=".0098664",=".0085853"
="unexplained",=".0565933",=".03957",=".0766173",=".1224347",=".1061146",=".1349187"
="",=".0133396",=".0150823",=".0125736",=".0115941",=".0105873",=".0115557"
="N",="49598",="49598",="49598",="46893",="46893",="46893"
