
="",="(1)",="(2)",="(3)",="(4)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"

="Public Sector",="0.022*",="0.041***",="0.083***",="0.041***"
="",="(2.08)",="(3.81)",="(8.42)",="(3.81)"

="Experience",="0.563***",="0.601***",="0.474***",="0.601***"
="",="(12.44)",="(12.25)",="(11.20)",="(12.25)"

="Experience^{2}",="-0.430***",="-0.470***",="-0.374***",="-0.470***"
="",="(-10.35)",="(-10.46)",="(-8.77)",="(-10.46)"

="University",="0.231***",="0.367***",="0.206***",="0.367***"
="",="(14.50)",="(23.19)",="(15.01)",="(23.19)"

="Diploma / Cert",="0.057***",="0.091***",="0.047***",="0.091***"
="",="(4.98)",="(7.45)",="(4.29)",="(7.45)"

="1 child",="0.016",="",="-0.009",=""
="",="(1.81)",="",="(-0.94)",=""

="2 children",="0.048***",="",="0.009",=""
="",="(4.37)",="",="(0.86)",=""

="3 children",="0.039***",="",="0.016",=""
="",="(3.50)",="",="(1.71)",=""

="4+ children",="0.004",="",="0.006",=""
="",="(0.46)",="",="(0.63)",=""

="Poor health",="-0.051***",="-0.058***",="-0.037***",="-0.058***"
="",="(-6.15)",="(-6.71)",="(-4.95)",="(-6.71)"

="Born - Eng speaking",="0.029*",="0.042***",="0.019",="0.042***"
="",="(2.51)",="(3.41)",="(1.87)",="(3.41)"

="Born - Non-Eng speaking",="-0.074***",="-0.092***",="0.001",="-0.092***"
="",="(-5.63)",="(-6.38)",="(0.09)",="(-6.38)"

="Married / De Facto",="0.082***",="0.088***",="0.035**",="0.088***"
="",="(6.26)",="(6.34)",="(2.74)",="(6.34)"

="Seperated / Widowed",="0.014",="0.009",="0.004",="0.009"
="",="(1.21)",="(0.65)",="(0.37)",="(0.65)"

="Rural",="-0.045***",="-0.056***",="-0.014",="-0.056***"
="",="(-4.62)",="(-5.52)",="(-1.67)",="(-5.52)"

="VIC",="-0.027*",="",="-0.045***",=""
="",="(-2.16)",="",="(-3.72)",=""

="WA",="0.041***",="",="-0.003",=""
="",="(3.35)",="",="(-0.26)",=""

="QLD",="-0.017",="",="-0.039***",=""
="",="(-1.31)",="",="(-3.82)",=""

="SA",="-0.043***",="",="-0.025**",=""
="",="(-5.03)",="",="(-2.73)",=""

="NT",="0.012",="",="-0.005",=""
="",="(0.93)",="",="(-0.47)",=""

="TAS",="-0.032***",="",="-0.026**",=""
="",="(-4.61)",="",="(-3.23)",=""

="ACT",="0.030**",="",="0.017**",=""
="",="(3.19)",="",="(2.76)",=""

="Shiftwork",="0.083***",="",="0.051***",=""
="",="(8.28)",="",="(5.68)",=""

="Part Time",="-0.044***",="-0.059***",="0.015",="-0.059***"
="",="(-3.80)",="(-4.59)",="(1.41)",="(-4.59)"

="41+ hours",="-0.013",="",="-0.054***",=""
="",="(-1.42)",="",="(-6.22)",=""

="Casual",="-0.018",="-0.041***",="-0.010",="-0.041***"
="",="(-1.69)",="(-3.69)",="(-0.99)",="(-3.69)"

="Tenure",="0.056***",="0.065***",="0.048***",="0.065***"
="",="(4.96)",="(5.23)",="(4.56)",="(5.23)"

="Wave=1",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="Wave=2",="-0.003",="-0.006",="-0.003",="-0.006"
="",="(-0.69)",="(-1.17)",="(-0.62)",="(-1.17)"

="Wave=3",="0.007",="0.004",="0.007",="0.004"
="",="(1.38)",="(0.82)",="(1.27)",="(0.82)"

="Wave=4",="0.022***",="0.019***",="0.014*",="0.019***"
="",="(4.16)",="(3.64)",="(2.52)",="(3.64)"

="Wave=5",="0.023***",="0.022***",="0.019**",="0.022***"
="",="(3.74)",="(3.48)",="(3.07)",="(3.48)"

="Wave=6",="0.033***",="0.034***",="0.021**",="0.034***"
="",="(5.98)",="(6.13)",="(2.98)",="(6.13)"

="Wave=7",="0.045***",="0.045***",="0.045***",="0.045***"
="",="(7.62)",="(7.14)",="(7.58)",="(7.14)"

="Wave=8",="0.045***",="0.042***",="0.047***",="0.042***"
="",="(7.27)",="(6.64)",="(7.74)",="(6.64)"

="Wave=9",="0.053***",="0.053***",="0.052***",="0.053***"
="",="(8.72)",="(8.40)",="(5.89)",="(8.40)"

="Wave=10",="0.068***",="0.067***",="0.065***",="0.067***"
="",="(10.93)",="(10.43)",="(10.23)",="(10.43)"

="Wave=11",="0.070***",="0.068***",="0.063***",="0.068***"
="",="(11.64)",="(10.84)",="(10.34)",="(10.84)"

="Wave=12",="0.081***",="0.078***",="0.069***",="0.078***"
="",="(12.70)",="(11.90)",="(11.57)",="(11.90)"

="Wave=13",="0.078***",="0.076***",="0.063***",="0.076***"
="",="(10.66)",="(10.26)",="(10.34)",="(10.26)"

="Wave=14",="0.081***",="0.081***",="0.067***",="0.081***"
="",="(13.03)",="(12.31)",="(10.50)",="(12.31)"

="Wave=15",="0.071***",="0.070***",="0.077***",="0.070***"
="",="(11.41)",="(10.86)",="(11.29)",="(10.86)"

="Wave=16",="0.087***",="0.084***",="0.074***",="0.084***"
="",="(13.18)",="(12.57)",="(11.12)",="(12.57)"

="Wave=17",="0.085***",="0.083***",="0.081***",="0.083***"
="",="(11.60)",="(10.99)",="(11.80)",="(10.99)"

="Wave=18",="0.089***",="0.087***",="0.095***",="0.087***"
="",="(13.51)",="(12.83)",="(13.99)",="(12.83)"

="Wave=19",="0.102***",="0.102***",="0.111***",="0.102***"
="",="(14.91)",="(14.34)",="(12.26)",="(14.34)"

="Technician / Trades",="-0.146***",="",="-0.143***",=""
="",="(-11.12)",="",="(-16.37)",=""

="Administration",="-0.130***",="",="-0.203***",=""
="",="(-14.13)",="",="(-12.71)",=""

="Machinery",="-0.190***",="",="-0.095***",=""
="",="(-13.17)",="",="(-10.12)",=""

="Professional",="-0.008",="",="-0.013",=""
="",="(-0.60)",="",="(-0.77)",=""

