
="",="(1)",="(2)",="(3)",="(4)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"

="Public Sector",="0.022*",="0.041***",="0.083***",="0.041***"
="",="(2.08)",="(3.81)",="(8.42)",="(3.81)"

="Experience",="0.563***",="0.601***",="0.474***",="0.601***"
="",="(12.44)",="(12.25)",="(11.20)",="(12.25)"

="Experience^{2}",="-0.430***",="-0.470***",="-0.374***",="-0.470***"
="",="(-10.35)",="(-10.46)",="(-8.77)",="(-10.46)"

="University",="0.231***",="0.367***",="0.206***",="0.367***"
="",="(14.50)",="(23.19)",="(15.01)",="(23.19)"

="Diploma / Cert",="0.057***",="0.091***",="0.047***",="0.091***"
="",="(4.98)",="(7.45)",="(4.29)",="(7.45)"

="1 child",="0.016",="",="-0.009",=""
="",="(1.81)",="",="(-0.94)",=""

="2 children",="0.048***",="",="0.009",=""
="",="(4.37)",="",="(0.86)",=""

="3 children",="0.039***",="",="0.016",=""
="",="(3.50)",="",="(1.71)",=""

="4+ children",="0.004",="",="0.006",=""
="",="(0.46)",="",="(0.63)",=""

="Poor health",="-0.051***",="-0.058***",="-0.037***",="-0.058***"
="",="(-6.15)",="(-6.71)",="(-4.95)",="(-6.71)"

="Born - Eng speaking",="0.029*",="0.042***",="0.019",="0.042***"
="",="(2.51)",="(3.41)",="(1.87)",="(3.41)"

="Born - Non-Eng speaking",="-0.074***",="-0.092***",="0.001",="-0.092***"
="",="(-5.63)",="(-6.38)",="(0.09)",="(-6.38)"

="Married / De Facto",="0.082***",="0.088***",="0.035**",="0.088***"
="",="(6.26)",="(6.34)",="(2.74)",="(6.34)"

="Seperated / Widowed",="0.014",="0.009",="0.004",="0.009"
="",="(1.21)",="(0.65)",="(0.37)",="(0.65)"

="Rural",="-0.045***",="-0.056***",="-0.014",="-0.056***"
="",="(-4.62)",="(-5.52)",="(-1.67)",="(-5.52)"

="VIC",="-0.027*",="",="-0.045***",=""
="",="(-2.16)",="",="(-3.72)",=""

="WA",="0.041***",="",="-0.003",=""
="",="(3.35)",="",="(-0.26)",=""

="QLD",="-0.017",="",="-0.039***",=""
="",="(-1.31)",="",="(-3.82)",=""

="SA",="-0.043***",="",="-0.025**",=""
="",="(-5.03)",="",="(-2.73)",=""

="NT",="0.012",="",="-0.005",=""
="",="(0.93)",="",="(-0.47)",=""

="TAS",="-0.032***",="",="-0.026**",=""
="",="(-4.61)",="",="(-3.23)",=""

="ACT",="0.030**",="",="0.017**",=""
="",="(3.19)",="",="(2.76)",=""

="Shiftwork",="0.083***",="",="0.051***",=""
="",="(8.28)",="",="(5.68)",=""

="Part Time",="-0.044***",="-0.059***",="0.015",="-0.059***"
="",="(-3.80)",="(-4.59)",="(1.41)",="(-4.59)"

="41+ hours",="-0.013",="",="-0.054***",=""
="",="(-1.42)",="",="(-6.22)",=""

="Casual",="-0.018",="-0.041***",="-0.010",="-0.041***"
="",="(-1.69)",="(-3.69)",="(-0.99)",="(-3.69)"

="Tenure",="0.056***",="0.065***",="0.048***",="0.065***"
="",="(4.96)",="(5.23)",="(4.56)",="(5.23)"

="Technician / Trades",="-0.146***",="",="-0.143***",=""
="",="(-11.12)",="",="(-16.37)",=""

="Administration",="-0.130***",="",="-0.203***",=""
="",="(-14.13)",="",="(-12.71)",=""

="Machinery",="-0.190***",="",="-0.095***",=""
="",="(-13.17)",="",="(-10.12)",=""

="Professional",="-0.008",="",="-0.013",=""
="",="(-0.60)",="",="(-0.77)",=""

="Community / Service",="-0.127***",="",="-0.254***",=""
="",="(-12.90)",="",="(-19.14)",=""

="Sales",="-0.162***",="",="-0.226***",=""
="",="(-16.82)",="",="(-18.42)",=""

="Labourer",="-0.225***",="",="-0.240***",=""
="",="(-18.97)",="",="(-16.74)",=""

="Children",="",="0.045***",="",="0.045***"
="",="",="(3.94)",="",="(3.94)"

="Constant",="***",="***",="***",="***"
="",="(121.36)",="(146.65)",="(128.64)",="(146.65)"

="Observations",="49598",="49598",="46893",="49598"

="Standardized beta coefficients; t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
