
="",="(1)",="(2)",="(3)",="(4)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"

="main",="",="",="",=""
="Public Sector",="***",="***",="***",="***"
="",="(9.77)",="(20.26)",="(8.28)",="(13.09)"

="Experience",="***",="***",="***",="***"
="",="(9.68)",="(7.38)",="(7.17)",="(6.92)"

="Experience^{2}",="***",="***",="***",="***"
="",="(-7.77)",="(-7.16)",="(-6.20)",="(-7.11)"

="University",="***",="***",="***",="***"
="",="(5.94)",="(15.59)",="(6.96)",="(12.53)"

="Diploma / Cert",="*",="***",="",=""
="",="(2.37)",="(6.50)",="(1.79)",="(1.85)"

="1 child",="",="",="*",=""
="",="(0.75)",="",="(-2.35)",=""

="2 children",="**",="",="**",=""
="",="(3.07)",="",="(2.72)",=""

="3 children",="",="",="",=""
="",="(1.00)",="",="(0.89)",=""

="4+ children",="",="",="",=""
="",="(0.45)",="",="(0.02)",=""

="Poor health",="***",="***",="",="***"
="",="(-4.44)",="(-3.48)",="(-1.96)",="(-4.49)"

="Born - Eng speaking",="",="*",="",=""
="",="(1.23)",="(2.28)",="(1.52)",="(1.48)"

="Born - Non-Eng speaking",="***",="***",="",="***"
="",="(-3.99)",="(-6.14)",="(-1.12)",="(-6.60)"

="Married / De Facto",="***",="***",="",="**"
="",="(7.14)",="(5.84)",="(1.21)",="(2.62)"

="Seperated / Widowed",="",="",="",=""
="",="(1.58)",="(0.42)",="(1.32)",="(1.91)"

="Rural",="***",="***",="*",="***"
="",="(-4.69)",="(-6.80)",="(-2.00)",="(-3.54)"

="VIC",="*",="",="**",=""
="",="(-2.39)",="",="(-2.99)",=""

="WA",="*",="",="",=""
="",="(2.23)",="",="(0.61)",=""

="QLD",="",="",="",=""
="",="(-0.85)",="",="(-0.39)",=""

="SA",="",="",="",=""
="",="(-0.64)",="",="(-0.44)",=""

="NT",="",="",="",=""
="",="(0.55)",="",="(-1.02)",=""

="TAS",="",="",="",=""
="",="(-1.35)",="",="(-1.44)",=""

="ACT",="***",="",="*",=""
="",="(3.42)",="",="(2.03)",=""

="Shiftwork",="",="",="",=""
="",="(1.85)",="",="(0.69)",=""

="Part Time",="***",="***",="",="*"
="",="(-5.12)",="(-4.45)",="(-0.73)",="(-2.37)"

="41+ hours",="***",="",="***",=""
="",="(-5.96)",="",="(-7.93)",=""

="Casual",="***",="***",="***",="***"
="",="(-4.72)",="(-7.67)",="(-11.87)",="(-12.42)"

="Tenure",="***",="**",="**",="***"
="",="(3.41)",="(3.01)",="(3.06)",="(6.36)"

="Wave=2",="",="",="",=""
="",="(0.27)",="(0.24)",="(0.39)",="(1.33)"

="Wave=3",="",="",="",=""
="",="(0.76)",="(0.72)",="(1.05)",="(0.51)"

="Wave=4",="",="",="",=""
="",="(0.98)",="(1.83)",="(0.72)",="(1.74)"

="Wave=5",="",="*",="",=""
="",="(1.63)",="(2.33)",="(1.40)",="(1.36)"

="Wave=6",="***",="***",="",="***"
="",="(5.18)",="(5.58)",="(1.20)",="(3.47)"

="Wave=7",="***",="***",="***",="***"
="",="(4.25)",="(5.73)",="(5.73)",="(8.03)"

="Wave=8",="**",="***",="***",="***"
="",="(2.59)",="(3.43)",="(3.60)",="(5.31)"

="Wave=9",="***",="***",="***",="***"
="",="(4.16)",="(7.93)",="(4.89)",="(6.80)"

="Wave=10",="***",="***",="***",="***"
="",="(8.77)",="(6.81)",="(5.71)",="(7.54)"

="Wave=11",="***",="***",="***",="***"
="",="(4.54)",="(8.08)",="(7.40)",="(5.18)"

="Wave=12",="***",="***",="***",="***"
="",="(7.68)",="(7.98)",="(5.20)",="(7.87)"

="Wave=13",="***",="***",="***",="***"
="",="(4.97)",="(8.57)",="(5.18)",="(7.26)"

="Wave=14",="***",="***",="***",="***"
="",="(7.35)",="(11.69)",="(6.10)",="(7.46)"

="Wave=15",="***",="***",="***",="***"
="",="(6.69)",="(14.11)",="(5.35)",="(5.38)"

="Wave=16",="***",="***",="***",="***"
="",="(12.57)",="(13.15)",="(5.13)",="(5.62)"

="Wave=17",="***",="***",="***",="***"
="",="(5.54)",="(8.03)",="(4.24)",="(15.39)"

="Wave=18",="***",="***",="***",="***"
="",="(16.34)",="(8.05)",="(8.17)",="(11.53)"

="Wave=19",="***",="***",="***",="***"
="",="(8.30)",="(15.99)",="(6.14)",="(7.98)"

="Technician / Trades",="***",="",="***",=""
="",="(-3.99)",="",="(-5.31)",=""

="Administration",="***",="",="***",=""
="",="(-4.64)",="",="(-5.71)",=""

="Machinery",="***",="",="***",=""
="",="(-8.28)",="",="(-4.72)",=""

="Professional",="",="",="",=""
="",="(1.35)",="",="(1.76)",=""

="Community / Service",="***",="",="***",=""
="",="(-3.44)",="",="(-12.30)",=""

="Sales",="***",="",="***",=""
="",="(-4.66)",="",="(-8.19)",=""

="Labourer",="***",="",="***",=""
="",="(-13.43)",="",="(-7.85)",=""

="Children",="",="**",="",=""
="",="",="(2.93)",="",="(-0.35)"

="q2",="",="",="",=""
="Public Sector",="***",="***",="***",="***"
