
="",="(1)",="(2)",="(3)",="(4)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"

="main",="",="",="",=""
="Public Sector",="***",="***",="***",="***"
="",="(9.77)",="(20.26)",="(8.28)",="(13.09)"

="Experience",="***",="***",="***",="***"
="",="(9.68)",="(7.38)",="(7.17)",="(6.92)"

="Experience^{2}",="***",="***",="***",="***"
="",="(-7.77)",="(-7.16)",="(-6.20)",="(-7.11)"

="University",="***",="***",="***",="***"
="",="(5.94)",="(15.59)",="(6.96)",="(12.53)"

="Diploma / Cert",="*",="***",="",=""
="",="(2.37)",="(6.50)",="(1.79)",="(1.85)"

="1 child",="",="",="*",=""
="",="(0.75)",="",="(-2.35)",=""

="2 children",="**",="",="**",=""
="",="(3.07)",="",="(2.72)",=""

="3 children",="",="",="",=""
="",="(1.00)",="",="(0.89)",=""

="4+ children",="",="",="",=""
="",="(0.45)",="",="(0.02)",=""

="Poor health",="***",="***",="",="***"
="",="(-4.44)",="(-3.48)",="(-1.96)",="(-4.49)"

="Born - Eng speaking",="",="*",="",=""
="",="(1.23)",="(2.28)",="(1.52)",="(1.48)"

="Born - Non-Eng speaking",="***",="***",="",="***"
="",="(-3.99)",="(-6.14)",="(-1.12)",="(-6.60)"

="Married / De Facto",="***",="***",="",="**"
="",="(7.14)",="(5.84)",="(1.21)",="(2.62)"

="Seperated / Widowed",="",="",="",=""
="",="(1.58)",="(0.42)",="(1.32)",="(1.91)"

="Rural",="***",="***",="*",="***"
="",="(-4.69)",="(-6.80)",="(-2.00)",="(-3.54)"

="VIC",="*",="",="**",=""
="",="(-2.39)",="",="(-2.99)",=""

="WA",="*",="",="",=""
="",="(2.23)",="",="(0.61)",=""

="QLD",="",="",="",=""
="",="(-0.85)",="",="(-0.39)",=""

="SA",="",="",="",=""
="",="(-0.64)",="",="(-0.44)",=""

="NT",="",="",="",=""
="",="(0.55)",="",="(-1.02)",=""

="TAS",="",="",="",=""
="",="(-1.35)",="",="(-1.44)",=""

="ACT",="***",="",="*",=""
="",="(3.42)",="",="(2.03)",=""

="Shiftwork",="",="",="",=""
="",="(1.85)",="",="(0.69)",=""

="Part Time",="***",="***",="",="*"
="",="(-5.12)",="(-4.45)",="(-0.73)",="(-2.37)"

="41+ hours",="***",="",="***",=""
="",="(-5.96)",="",="(-7.93)",=""

="Casual",="***",="***",="***",="***"
="",="(-4.72)",="(-7.67)",="(-11.87)",="(-12.42)"

="Tenure",="***",="**",="**",="***"
="",="(3.41)",="(3.01)",="(3.06)",="(6.36)"

="Technician / Trades",="***",="",="***",=""
="",="(-3.99)",="",="(-5.31)",=""

="Administration",="***",="",="***",=""
="",="(-4.64)",="",="(-5.71)",=""

="Machinery",="***",="",="***",=""
="",="(-8.28)",="",="(-4.72)",=""

="Professional",="",="",="",=""
="",="(1.35)",="",="(1.76)",=""

="Community / Service",="***",="",="***",=""
="",="(-3.44)",="",="(-12.30)",=""

="Sales",="***",="",="***",=""
="",="(-4.66)",="",="(-8.19)",=""

="Labourer",="***",="",="***",=""
="",="(-13.43)",="",="(-7.85)",=""

="Children",="",="**",="",=""
="",="",="(2.93)",="",="(-0.35)"

="Constant",="***",="***",="***",="***"
="",="(121.05)",="(138.22)",="(81.91)",="(66.07)"

="q2",="",="",="",=""
="Public Sector",="***",="***",="***",="***"
="",="(6.99)",="(15.03)",="(13.37)",="(16.75)"

="Experience",="***",="***",="***",="***"
="",="(20.96)",="(8.11)",="(17.78)",="(7.50)"

="Experience^{2}",="***",="***",="***",="***"
="",="(-16.60)",="(-6.79)",="(-18.12)",="(-6.80)"

="University",="***",="***",="***",="***"
="",="(8.78)",="(21.89)",="(12.80)",="(20.63)"

="Diploma / Cert",="***",="***",="***",="**"
="",="(5.45)",="(8.21)",="(3.53)",="(3.21)"

="1 child",="",="",="",=""
="",="(1.10)",="",="(-1.22)",=""

="2 children",="***",="",="",=""
="",="(4.21)",="",="(1.16)",=""

="3 children",="*",="",="***",=""
="",="(2.17)",="",="(3.30)",=""

="4+ children",="",="",="",=""
="",="(-0.28)",="",="(-0.23)",=""

="Poor health",="***",="***",="**",="***"
="",="(-4.79)",="(-5.68)",="(-3.23)",="(-6.93)"

="Born - Eng speaking",="*",="**",="***",="***"
="",="(2.33)",="(2.73)",="(3.35)",="(3.92)"

="Born - Non-Eng speaking",="***",="***",="",="***"
="",="(-3.48)",="(-9.67)",="(-1.19)",="(-3.66)"

="Married / De Facto",="***",="***",="",="***"
="",="(5.79)",="(6.40)",="(1.90)",="(4.75)"

="Seperated / Widowed",="",="",="",=""
="",="(0.89)",="(-0.24)",="(0.19)",="(0.94)"

="Rural",="***",="***",="",="**"
="",="(-5.54)",="(-7.46)",="(-1.90)",="(-2.64)"

="VIC",="*",="",="***",=""
="",="(-2.50)",="",="(-4.23)",=""

="WA",="*",="",="",=""
="",="(2.26)",="",="(0.20)",=""

="QLD",="",="",="*",=""
="",="(-1.83)",="",="(-2.44)",=""

="SA",="*",="",="",=""
="",="(-2.46)",="",="(-0.15)",=""

