="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage",="log_real_wage"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="t_q1",=".2646187",=".2659288",=".2669886",=".2441881",=".2464351",=".2421041"
="",=".0064111",=".0079973",=".007658",=".0067683",=".0069699",=".0063819"
="t_q2",=".259537",=".2591179",=".2566659",=".271859",=".2716086",=".2701479"
="",=".0060387",=".0050401",=".0057796",=".0038751",=".0046066",=".0043041"
="t_q3",=".2223698",=".2219663",=".2203744",=".3013043",=".2999996",=".3014992"
="",=".0057285",=".0053877",=".0062394",=".0044366",=".0041777",=".0044495"
="t_q4",=".1345875",=".1317264",=".1333593",=".272055",=".2684948",=".2738483"
="",=".0061269",=".0067274",=".0064114",=".0056678",=".0054151",=".0057094"
="t_q5",=".0204451",=".0222103",=".0177674",=".1733234",=".1753417",=".1714973"
="",=".007954",=".0078637",=".0071902",=".0089491",=".0085978",=".0077054"
="x_q1",=".1435484",=".184287",=".1176877",=".1460838",=".1561224",=".1290587"
="",=".0081623",=".0095009",=".0079576",=".0076895",=".0098628",=".0059937"
="x_q2",=".1402689",=".1718481",=".1107276",=".1380378",=".1481642",=".1215593"
="",=".0061198",=".0073379",=".0057079",=".0039609",=".0067494",=".0038111"
="x_q3",=".132423",=".1480818",=".109082",=".1374123",=".1569563",=".1250003"
="",=".0055191",=".0065563",=".0047864",=".0034542",=".0055645",=".0038383"
="x_q4",=".1128825",=".1154348",=".0995286",=".1217818",=".1428504",=".1102741"
="",=".0066025",=".0068112",=".0050959",=".0041331",=".0050068",=".0047083"
="x_q5",=".0918682",=".0875347",=".0875279",=".0948678",=".1096383",=".0832859"
="",=".0087979",=".0084148",=".0067992",=".0062747",=".0055642",=".0061331"
="b_q1",=".1210703",=".0816418",=".1493009",=".0981043",=".0903127",=".1130455"
="",=".0108383",=".0124405",=".0113118",=".0113729",=".0132041",=".0099087"
="b_q2",=".119268",=".0872698",=".1459383",=".1338212",=".1234444",=".1485886"
="",=".0081995",=".0085021",=".0065332",=".0050282",=".0080523",=".0055989"
="b_q3",=".0899468",=".0738845",=".1112925",=".1638921",=".1430433",=".1764989"
="",=".0073515",=".0077278",=".0060935",=".004933",=".0058102",=".00529"
="b_q4",=".021705",=".0162916",=".0338307",=".1502732",=".1256444",=".1635741"
="",=".0092421",=".0087491",=".0065473",=".0060543",=".0053817",=".0062935"
="b_q5",="-.0714231",="-.0653244",="-.0697605",=".0784556",=".0657034",=".0882114"
="",=".0116985",=".0103326",=".0083802",=".0092515",=".0079056",=".0076751"
="N",="49598",="49598",="49598",="46893",="46893",="46893"
