
="",="(1)",="(2)",="(3)",="(4)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"

="overall",="",="",="",=""
="group_1",="3.528***",="3.528***",="3.424***",="3.424***"
="",="(0.0104)",="(0.0108)",="(0.00847)",="(0.00869)"

="group_2",="3.343***",="3.343***",="3.166***",="3.166***"
="",="(0.00735)",="(0.00763)",="(0.00624)",="(0.00654)"

="difference",="0.185***",="0.185***",="0.258***",="0.258***"
="",="(0.0126)",="(0.0130)",="(0.0103)",="(0.0107)"

="explained",="0.145***",="0.108***",="0.152***",="0.124***"
="",="(0.0136)",="(0.0104)",="(0.00987)",="(0.00858)"

="unexplained",="0.0396**",="0.0765***",="0.106***",="0.134***"
="",="(0.0151)",="(0.0126)",="(0.0106)",="(0.0116)"

="Observations",="49598",="49598",="46893",="46893"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
