
="",="(1)",="(2)",="(3)",="(4)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"

="Public Sector",="0.0257*",="0.0488***",="0.0785***",="0.118***"
="",="(0.0124)",="(0.0128)",="(0.00933)",="(0.0105)"

="Experience",="0.0219***",="0.0233***",="0.0189***",="0.0204***"
="",="(0.00176)",="(0.00190)",="(0.00169)",="(0.00187)"

="Experience^{2}",="-0.000359***",="-0.000392***",="-0.000347***",="-0.000378***"
="",="(0.0000346)",="(0.0000375)",="(0.0000396)",="(0.0000438)"

="University",="0.234***",="0.371***",="0.185***",="0.330***"
="",="(0.0161)",="(0.0160)",="(0.0124)",="(0.0123)"

="Diploma / Cert",="0.0547***",="0.0876***",="0.0451***",="0.0616***"
="",="(0.0110)",="(0.0118)",="(0.0105)",="(0.0113)"

="1 child",="0.0203",="",="-0.00961",=""
="",="(0.0112)",="",="(0.0102)",=""

="2 children",="0.0551***",="",="0.00890",=""
="",="(0.0126)",="",="(0.0103)",=""

="3 children",="0.0702***",="",="0.0248",=""
="",="(0.0201)",="",="(0.0145)",=""

="4+ children",="0.0124",="",="0.0180",=""
="",="(0.0271)",="",="(0.0283)",=""

="Poor health",="-0.0668***",="-0.0757***",="-0.0445***",="-0.0536***"
="",="(0.0109)",="(0.0113)",="(0.00899)",="(0.00981)"

="Born - Eng speaking",="0.0427*",="0.0623***",="0.0275",="0.0361*"
="",="(0.0170)",="(0.0183)",="(0.0147)",="(0.0160)"

="Born - Non-Eng speaking",="-0.0880***",="-0.110***",="0.00124",="-0.0283"
="",="(0.0156)",="(0.0172)",="(0.0143)",="(0.0158)"

="Married / De Facto",="0.0835***",="0.0902***",="0.0330**",="0.0355**"
="",="(0.0133)",="(0.0142)",="(0.0120)",="(0.0132)"

="Seperated / Widowed",="0.0268",="0.0166",="0.00582",="-0.0131"
="",="(0.0222)",="(0.0257)",="(0.0157)",="(0.0177)"

="Rural",="-0.0762***",="-0.0952***",="-0.0213",="-0.0318*"
="",="(0.0165)",="(0.0172)",="(0.0128)",="(0.0147)"

="VIC",="-0.0293*",="",="-0.0447***",=""
="",="(0.0135)",="",="(0.0120)",=""

="WA",="0.0635***",="",="-0.00398",=""
="",="(0.0190)",="",="(0.0154)",=""

="QLD",="-0.0199",="",="-0.0420***",=""
="",="(0.0152)",="",="(0.0110)",=""

="SA",="-0.0781***",="",="-0.0423**",=""
="",="(0.0155)",="",="(0.0155)",=""

="NT",="0.0607",="",="-0.0216",=""
="",="(0.0654)",="",="(0.0460)",=""

="TAS",="-0.101***",="",="-0.0759**",=""
="",="(0.0218)",="",="(0.0235)",=""

="ACT",="0.108**",="",="0.0520**",=""
="",="(0.0338)",="",="(0.0189)",=""

="Shiftwork",="0.0971***",="",="0.0557***",=""
="",="(0.0117)",="",="(0.00980)",=""

="Part Time",="-0.0670***",="-0.0898***",="0.0128",="-0.00364"
="",="(0.0176)",="(0.0196)",="(0.00907)",="(0.00957)"

="41+ hours",="-0.0120",="",="-0.0606***",=""
="",="(0.00847)",="",="(0.00974)",=""

="Casual",="-0.0234",="-0.0539***",="-0.0111",="-0.0476***"
="",="(0.0139)",="(0.0146)",="(0.0111)",="(0.0119)"

="Tenure",="0.00327***",="0.00380***",="0.00282***",="0.00358***"
="",="(0.000660)",="(0.000727)",="(0.000619)",="(0.000696)"

="Wave=1",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Wave=2",="-0.00751",="-0.0131",="-0.00644",="-0.00211"
="",="(0.0109)",="(0.0111)",="(0.0103)",="(0.0105)"

="Wave=3",="0.0156",="0.00952",="0.0139",="0.0105"
="",="(0.0113)",="(0.0116)",="(0.0110)",="(0.0114)"

="Wave=4",="0.0494***",="0.0432***",="0.0299*",="0.0326**"
="",="(0.0119)",="(0.0119)",="(0.0119)",="(0.0117)"

="Wave=5",="0.0509***",="0.0474***",="0.0406**",="0.0432**"
="",="(0.0136)",="(0.0136)",="(0.0132)",="(0.0142)"

="Wave=6",="0.0722***",="0.0746***",="0.0438**",="0.0438**"
="",="(0.0121)",="(0.0122)",="(0.0147)",="(0.0148)"

="Wave=7",="0.0987***",="0.0971***",="0.0897***",="0.0906***"
="",="(0.0130)",="(0.0136)",="(0.0118)",="(0.0121)"

="Wave=8",="0.0949***",="0.0886***",="0.0928***",="0.0982***"
="",="(0.0130)",="(0.0133)",="(0.0120)",="(0.0124)"

="Wave=9",="0.113***",="0.113***",="0.101***",="0.102***"
="",="(0.0130)",="(0.0134)",="(0.0172)",="(0.0180)"

="Wave=10",="0.142***",="0.140***",="0.125***",="0.128***"
="",="(0.0130)",="(0.0134)",="(0.0122)",="(0.0128)"

="Wave=11",="0.145***",="0.141***",="0.119***",="0.120***"
="",="(0.0124)",="(0.0130)",="(0.0116)",="(0.0119)"

="Wave=12",="0.163***",="0.159***",="0.132***",="0.131***"
="",="(0.0129)",="(0.0133)",="(0.0114)",="(0.0117)"

="Wave=13",="0.157***",="0.154***",="0.119***",="0.117***"
="",="(0.0147)",="(0.0150)",="(0.0115)",="(0.0121)"

="Wave=14",="0.162***",="0.161***",="0.125***",="0.127***"
="",="(0.0125)",="(0.0131)",="(0.0119)",="(0.0123)"

="Wave=15",="0.142***",="0.139***",="0.142***",="0.138***"
="",="(0.0124)",="(0.0128)",="(0.0126)",="(0.0131)"

="Wave=16",="0.174***",="0.167***",="0.137***",="0.139***"
="",="(0.0132)",="(0.0133)",="(0.0123)",="(0.0129)"

="Wave=17",="0.168***",="0.164***",="0.146***",="0.147***"
="",="(0.0145)",="(0.0149)",="(0.0124)",="(0.0130)"

="Wave=18",="0.174***",="0.170***",="0.171***",="0.175***"
="",="(0.0129)",="(0.0132)",="(0.0122)",="(0.0130)"

="Wave=19",="0.199***",="0.198***",="0.193***",="0.197***"
