="",="(1)",="(2)",="(3)",="(4)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"
="Public Sector",="0.026**",="0.049***",="0.079***",="0.118***"
="",="(0.012)",="(0.013)",="(0.009)",="(0.010)"
="Experience",="0.022***",="0.023***",="0.019***",="0.020***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)"
="Experience^{2}",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="University",="0.234***",="0.371***",="0.185***",="0.330***"
="",="(0.016)",="(0.016)",="(0.012)",="(0.012)"
="Diploma / Cert",="0.055***",="0.088***",="0.045***",="0.062***"
="",="(0.011)",="(0.012)",="(0.011)",="(0.011)"
="1 child",="0.020*",="",="-0.010",=""
="",="(0.011)",="",="(0.010)",=""
="2 children",="0.055***",="",="0.009",=""
="",="(0.013)",="",="(0.010)",=""
="3 children",="0.070***",="",="0.025*",=""
="",="(0.020)",="",="(0.015)",=""
="4+ children",="0.012",="",="0.018",=""
="",="(0.027)",="",="(0.028)",=""
="Poor health",="-0.067***",="-0.076***",="-0.045***",="-0.054***"
="",="(0.011)",="(0.011)",="(0.009)",="(0.010)"
="Born - Eng speaking",="0.043**",="0.062***",="0.027*",="0.036**"
="",="(0.017)",="(0.018)",="(0.015)",="(0.016)"
="Born - Non-Eng speaking",="-0.088***",="-0.110***",="0.001",="-0.028*"
="",="(0.016)",="(0.017)",="(0.014)",="(0.016)"
="Married / De Facto",="0.084***",="0.090***",="0.033***",="0.035***"
="",="(0.013)",="(0.014)",="(0.012)",="(0.013)"
="Seperated / Widowed",="0.027",="0.017",="0.006",="-0.013"
="",="(0.022)",="(0.026)",="(0.016)",="(0.018)"
="Rural",="-0.076***",="-0.095***",="-0.021*",="-0.032**"
="",="(0.016)",="(0.017)",="(0.013)",="(0.015)"
="VIC",="-0.029**",="",="-0.045***",=""
="",="(0.014)",="",="(0.012)",=""
="WA",="0.064***",="",="-0.004",=""
="",="(0.019)",="",="(0.015)",=""
="QLD",="-0.020",="",="-0.042***",=""
="",="(0.015)",="",="(0.011)",=""
="SA",="-0.078***",="",="-0.042***",=""
="",="(0.016)",="",="(0.015)",=""
="NT",="0.061",="",="-0.022",=""
="",="(0.065)",="",="(0.046)",=""
="TAS",="-0.101***",="",="-0.076***",=""
="",="(0.022)",="",="(0.023)",=""
="ACT",="0.108***",="",="0.052***",=""
="",="(0.034)",="",="(0.019)",=""
="Shiftwork",="0.097***",="",="0.056***",=""
="",="(0.012)",="",="(0.010)",=""
="Part Time",="-0.067***",="-0.090***",="0.013",="-0.004"
="",="(0.018)",="(0.020)",="(0.009)",="(0.010)"
="41+ hours",="-0.012",="",="-0.061***",=""
="",="(0.008)",="",="(0.010)",=""
="Casual",="-0.023*",="-0.054***",="-0.011",="-0.048***"
="",="(0.014)",="(0.015)",="(0.011)",="(0.012)"
="Tenure",="0.003***",="0.004***",="0.003***",="0.004***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="Technician / Trades",="-0.172***",="",="-0.313***",=""
="",="(0.015)",="",="(0.019)",=""
="Administration",="-0.211***",="",="-0.201***",=""
="",="(0.015)",="",="(0.016)",=""
="Machinery",="-0.270***",="",="-0.324***",=""
="",="(0.021)",="",="(0.032)",=""
="Professional",="-0.009",="",="-0.012",=""
="",="(0.015)",="",="(0.016)",=""
="Community / Service",="-0.246***",="",="-0.326***",=""
="",="(0.019)",="",="(0.017)",=""
="Sales",="-0.332***",="",="-0.333***",=""
="",="(0.020)",="",="(0.018)",=""
="Labourer",="-0.346***",="",="-0.398***",=""
="",="(0.018)",="",="(0.024)",=""
="Children",="",="0.042***",="",="0.001"
="",="",="(0.011)",="",="(0.010)"
="Constant",="3.002***",="2.787***",="3.007***",="2.741***"
="",="(0.025)",="(0.019)",="(0.023)",="(0.018)"
="Observations",="49598",="49598",="46893",="46893"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
