="",="(1)",="(2)",="(3)",="(4)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"
="q1",="",="",="",=""
="Public Sector",="0.121***",="0.162***",="0.126***",="0.151***"
="",="(0.016)",="(0.016)",="(0.013)",="(0.012)"
="Experience",="0.017***",="0.017***",="0.016***",="0.016***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)"
="Experience^{2}",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="University",="0.139***",="0.230***",="0.150***",="0.220***"
="",="(0.018)",="(0.018)",="(0.016)",="(0.013)"
="Diploma / Cert",="0.038***",="0.063***",="0.038***",="0.034**"
="",="(0.013)",="(0.012)",="(0.013)",="(0.013)"
="1 child",="0.008",="",="-0.016",=""
="",="(0.014)",="",="(0.014)",=""
="2 children",="0.044***",="",="0.018",=""
="",="(0.015)",="",="(0.014)",=""
="3 children",="0.026",="",="0.014",=""
="",="(0.023)",="",="(0.019)",=""
="4+ children",="0.012",="",="0.001",=""
="",="(0.031)",="",="(0.049)",=""
="Poor health",="-0.059***",="-0.062***",="-0.035**",="-0.052***"
="",="(0.014)",="(0.011)",="(0.014)",="(0.013)"
="Born - Eng speaking",="0.024",="0.045***",="0.032",="0.034**"
="",="(0.019)",="(0.017)",="(0.022)",="(0.017)"
="Born - Non-Eng speaking",="-0.062***",="-0.074***",="-0.023",="-0.068***"
="",="(0.019)",="(0.019)",="(0.017)",="(0.015)"
="Married / De Facto",="0.088***",="0.085***",="0.028*",="0.039***"
="",="(0.018)",="(0.016)",="(0.016)",="(0.015)"
="Seperated / Widowed",="0.035",="0.013",="0.030",="0.030"
="",="(0.029)",="(0.026)",="(0.021)",="(0.018)"
="Rural",="-0.100***",="-0.107***",="-0.031",="-0.032*"
="",="(0.024)",="(0.023)",="(0.019)",="(0.019)"
="VIC",="-0.031*",="",="-0.037**",=""
="",="(0.018)",="",="(0.015)",=""
="WA",="0.041*",="",="0.013",=""
="",="(0.021)",="",="(0.018)",=""
="QLD",="-0.007",="",="-0.006",=""
="",="(0.015)",="",="(0.014)",=""
="SA",="-0.011",="",="-0.006",=""
="",="(0.019)",="",="(0.019)",=""
="NT",="0.046",="",="-0.098",=""
="",="(0.069)",="",="(0.084)",=""
="TAS",="-0.051*",="",="-0.051",=""
="",="(0.030)",="",="(0.040)",=""
="ACT",="0.116***",="",="0.075**",=""
="",="(0.037)",="",="(0.031)",=""
="Shiftwork",="0.042**",="",="0.012",=""
="",="(0.017)",="",="(0.017)",=""
="Part Time",="-0.167***",="-0.149***",="-0.009",="-0.025**"
="",="(0.033)",="(0.032)",="(0.013)",="(0.011)"
="41+ hours",="-0.061***",="",="-0.114***",=""
="",="(0.011)",="",="(0.013)",=""
="Casual",="-0.122***",="-0.137***",="-0.174***",="-0.205***"
="",="(0.024)",="(0.025)",="(0.021)",="(0.019)"
="Tenure",="0.002**",="0.002**",="0.003***",="0.003***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="Wave=2",="0.012",="0.006",="0.012",="0.019"
="",="(0.035)",="(0.018)",="(0.025)",="(0.020)"
="Wave=3",="0.027",="0.016",="0.020",="0.008"
="",="(0.028)",="(0.021)",="(0.021)",="(0.021)"
="Wave=4",="0.037",="0.044**",="0.031",="0.037*"
="",="(0.024)",="(0.020)",="(0.029)",="(0.021)"
