
="",="(1)",="(2)",="(3)",="(4)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"

="q1",="",="",="",=""
="Public Sector",="0.121***",="0.162***",="0.126***",="0.151***"
="",="(0.0124)",="(0.00799)",="(0.0152)",="(0.0116)"

="Experience",="0.0170***",="0.0167***",="0.0159***",="0.0161***"
="",="(0.00175)",="(0.00227)",="(0.00221)",="(0.00233)"

="Experience^{2}",="-0.000293***",="-0.000295***",="-0.000302***",="-0.000319***"
="",="(0.0000377)",="(0.0000413)",="(0.0000486)",="(0.0000449)"

="University",="0.139***",="0.230***",="0.150***",="0.220***"
="",="(0.0235)",="(0.0148)",="(0.0216)",="(0.0176)"

="Diploma / Cert",="0.0380*",="0.0627***",="0.0377",="0.0343"
="",="(0.0160)",="(0.00965)",="(0.0210)",="(0.0185)"

="1 child",="0.00777",="",="-0.0157*",=""
="",="(0.0104)",="",="(0.00668)",=""

="2 children",="0.0437**",="",="0.0176**",=""
="",="(0.0142)",="",="(0.00648)",=""

="3 children",="0.0257",="",="0.0141",=""
="",="(0.0256)",="",="(0.0159)",=""

="4+ children",="0.0125",="",="0.000781",=""
="",="(0.0279)",="",="(0.0439)",=""

="Poor health",="-0.0592***",="-0.0618***",="-0.0351",="-0.0517***"
="",="(0.0133)",="(0.0178)",="(0.0179)",="(0.0115)"

="Born - Eng speaking",="0.0244",="0.0445*",="0.0323",="0.0344"
="",="(0.0198)",="(0.0195)",="(0.0213)",="(0.0232)"

="Born - Non-Eng speaking",="-0.0615***",="-0.0736***",="-0.0228",="-0.0676***"
="",="(0.0154)",="(0.0120)",="(0.0204)",="(0.0102)"

="Married / De Facto",="0.0881***",="0.0854***",="0.0278",="0.0390**"
="",="(0.0123)",="(0.0146)",="(0.0229)",="(0.0149)"

="Seperated / Widowed",="0.0348",="0.0129",="0.0303",="0.0295"
="",="(0.0221)",="(0.0303)",="(0.0230)",="(0.0155)"

="Rural",="-0.100***",="-0.107***",="-0.0308*",="-0.0315***"
="",="(0.0213)",="(0.0157)",="(0.0154)",="(0.00889)"

="VIC",="-0.0313*",="",="-0.0368**",=""
="",="(0.0131)",="",="(0.0123)",=""

="WA",="0.0410*",="",="0.0131",=""
="",="(0.0184)",="",="(0.0216)",=""

="QLD",="-0.00739",="",="-0.00621",=""
="",="(0.00865)",="",="(0.0158)",=""

="SA",="-0.0114",="",="-0.00588",=""
="",="(0.0179)",="",="(0.0133)",=""

="NT",="0.0459",="",="-0.0980",=""
="",="(0.0832)",="",="(0.0961)",=""

="TAS",="-0.0510",="",="-0.0514",=""
="",="(0.0378)",="",="(0.0357)",=""

="ACT",="0.116***",="",="0.0754*",=""
="",="(0.0340)",="",="(0.0372)",=""

="Shiftwork",="0.0419",="",="0.0120",=""
="",="(0.0227)",="",="(0.0174)",=""

="Part Time",="-0.167***",="-0.149***",="-0.00857",="-0.0255*"
="",="(0.0325)",="(0.0335)",="(0.0117)",="(0.0107)"

="41+ hours",="-0.0611***",="",="-0.114***",=""
="",="(0.0102)",="",="(0.0143)",=""

="Casual",="-0.122***",="-0.137***",="-0.174***",="-0.205***"
="",="(0.0259)",="(0.0179)",="(0.0147)",="(0.0165)"

="Tenure",="0.00206***",="0.00195**",="0.00319**",="0.00329***"
="",="(0.000606)",="(0.000648)",="(0.00104)",="(0.000517)"

="Technician / Trades",="-0.115***",="",="-0.169***",=""
="",="(0.0288)",="",="(0.0318)",=""

="Administration",="-0.0873***",="",="-0.0937***",=""
="",="(0.0188)",="",="(0.0164)",=""

="Machinery",="-0.177***",="",="-0.200***",=""
="",="(0.0213)",="",="(0.0424)",=""

="Professional",="0.0320",="",="0.0328",=""
="",="(0.0237)",="",="(0.0187)",=""

="Community / Service",="-0.115***",="",="-0.233***",=""
="",="(0.0334)",="",="(0.0189)",=""

="Sales",="-0.231***",="",="-0.195***",=""
="",="(0.0496)",="",="(0.0239)",=""

="Labourer",="-0.244***",="",="-0.276***",=""
="",="(0.0182)",="",="(0.0352)",=""

="Children",="",="0.0212**",="",="-0.00259"
="",="",="(0.00726)",="",="(0.00744)"

="Constant",="2.662***",="2.497***",="2.646***",="2.489***"
="",="(0.0220)",="(0.0181)",="(0.0323)",="(0.0377)"

="q2",="",="",="",=""
="Public Sector",="0.102***",="0.133***",="0.126***",="0.161***"
="",="(0.0147)",="(0.00881)",="(0.00942)",="(0.00962)"

="Experience",="0.0184***",="0.0187***",="0.0168***",="0.0159***"
="",="(0.000877)",="(0.00231)",="(0.000944)",="(0.00213)"

="Experience^{2}",="-0.000308***",="-0.000319***",="-0.000321***",="-0.000308***"
="",="(0.0000186)",="(0.0000470)",="(0.0000177)",="(0.0000453)"

="University",="0.181***",="0.296***",="0.153***",="0.254***"
="",="(0.0206)",="(0.0135)",="(0.0120)",="(0.0123)"

="Diploma / Cert",="0.0489***",="0.0761***",="0.0356***",="0.0399**"
="",="(0.00897)",="(0.00928)",="(0.0101)",="(0.0124)"

="1 child",="0.00988",="",="-0.00754",=""
="",="(0.00895)",="",="(0.00617)",=""

