
="",="(1)",="(2)",="(3)",="(4)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"

="q1",="",="",="",=""
="Public Sector",="0.121***",="0.162***",="0.126***",="0.151***"
="",="(0.0124)",="(0.00799)",="(0.0152)",="(0.0116)"

="q2",="",="",="",=""
="Public Sector",="0.102***",="0.133***",="0.126***",="0.161***"
="",="(0.0147)",="(0.00881)",="(0.00942)",="(0.00962)"

="q3",="",="",="",=""
="Public Sector",="0.0507***",="0.0722***",="0.107***",="0.146***"
="",="(0.0113)",="(0.0101)",="(0.00495)",="(0.00926)"

="q4",="",="",="",=""
="Public Sector",="-0.0195",="-0.00628",="0.0652***",="0.109***"
="",="(0.0129)",="(0.0171)",="(0.00665)",="(0.0129)"

="q5",="",="",="",=""
="Public Sector",="-0.0893***",="-0.101***",="0.0215",="0.0412"
="",="(0.0125)",="(0.0248)",="(0.0144)",="(0.0234)"

="Observations",="49598",="49598",="46893",="46893"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
