="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"
="q1",="",="",="",="",="",=""
="Public Sector",="0.121***",="0.162***",="0.055***",="0.126***",="0.151***",="0.078***"
="",="(0.016)",="(0.016)",="(0.017)",="(0.013)",="(0.012)",="(0.014)"
="Experience",="0.017***",="0.017***",="0.017***",="0.016***",="0.016***",="0.016***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"
="Experience^{2}",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="University",="0.139***",="0.230***",="0.118***",="0.150***",="0.220***",="0.141***"
="",="(0.018)",="(0.018)",="(0.020)",="(0.016)",="(0.013)",="(0.017)"
="Diploma / Cert",="0.038***",="0.063***",="0.031**",="0.038***",="0.034**",="0.040***"
="",="(0.013)",="(0.012)",="(0.013)",="(0.013)",="(0.013)",="(0.013)"
="1 child",="0.008",="",="0.002",="-0.016",="",="-0.011"
="",="(0.014)",="",="(0.017)",="(0.014)",="",="(0.014)"
="2 children",="0.044***",="",="0.044***",="0.018",="",="0.022"
="",="(0.015)",="",="(0.016)",="(0.014)",="",="(0.014)"
="3 children",="0.026",="",="0.024",="0.014",="",="0.015"
="",="(0.023)",="",="(0.023)",="(0.019)",="",="(0.019)"
="4+ children",="0.012",="",="0.016",="0.001",="",="-0.011"
="",="(0.031)",="",="(0.034)",="(0.049)",="",="(0.051)"
="Poor health",="-0.059***",="-0.062***",="-0.060***",="-0.035**",="-0.052***",="-0.036**"
="",="(0.014)",="(0.011)",="(0.014)",="(0.014)",="(0.013)",="(0.014)"
="Born - Eng speaking",="0.024",="0.045***",="0.020",="0.032",="0.034**",="0.022"
="",="(0.019)",="(0.017)",="(0.021)",="(0.022)",="(0.017)",="(0.021)"
="Born - Non-Eng speaking",="-0.062***",="-0.074***",="-0.067***",="-0.023",="-0.068***",="-0.022"
="",="(0.019)",="(0.019)",="(0.018)",="(0.017)",="(0.015)",="(0.015)"
="Married / De Facto",="0.088***",="0.085***",="0.097***",="0.028*",="0.039***",="0.034**"
="",="(0.018)",="(0.016)",="(0.018)",="(0.016)",="(0.015)",="(0.016)"
="Seperated / Widowed",="0.035",="0.013",="0.043",="0.030",="0.030",="0.034"
="",="(0.029)",="(0.026)",="(0.029)",="(0.021)",="(0.018)",="(0.021)"
="Rural",="-0.100***",="-0.107***",="-0.067***",="-0.031",="-0.032*",="-0.014"
="",="(0.024)",="(0.023)",="(0.024)",="(0.019)",="(0.019)",="(0.017)"
="VIC",="-0.031*",="",="-0.047***",="-0.037**",="",="-0.040***"
="",="(0.018)",="",="(0.017)",="(0.015)",="",="(0.014)"
="WA",="0.041*",="",="0.046**",="0.013",="",="0.016"
="",="(0.021)",="",="(0.020)",="(0.018)",="",="(0.018)"
="QLD",="-0.007",="",="-0.016",="-0.006",="",="-0.005"
="",="(0.015)",="",="(0.017)",="(0.014)",="",="(0.014)"
="SA",="-0.011",="",="-0.025",="-0.006",="",="-0.011"
="",="(0.019)",="",="(0.021)",="(0.019)",="",="(0.021)"
="NT",="0.046",="",="0.078",="-0.098",="",="-0.102"
="",="(0.069)",="",="(0.081)",="(0.084)",="",="(0.092)"
="TAS",="-0.051*",="",="-0.049*",="-0.051",="",="-0.052"
="",="(0.030)",="",="(0.030)",="(0.040)",="",="(0.037)"
="ACT",="0.116***",="",="0.091**",="0.075**",="",="0.052*"
="",="(0.037)",="",="(0.039)",="(0.031)",="",="(0.029)"
="Shiftwork",="0.042**",="",="0.000",="0.012",="",="-0.017"
="",="(0.017)",="",="(0.016)",="(0.017)",="",="(0.016)"
="Part Time",="-0.167***",="-0.149***",="-0.132***",="-0.009",="-0.025**",="-0.009"
="",="(0.033)",="(0.032)",="(0.032)",="(0.013)",="(0.011)",="(0.013)"
="41+ hours",="-0.061***",="",="-0.053***",="-0.114***",="",="-0.114***"
="",="(0.011)",="",="(0.011)",="(0.013)",="",="(0.014)"
="Casual",="-0.122***",="-0.137***",="-0.088***",="-0.174***",="-0.205***",="-0.150***"
="",="(0.024)",="(0.025)",="(0.026)",="(0.021)",="(0.019)",="(0.021)"
="Tenure",="0.002**",="0.002**",="0.002**",="0.003***",="0.003***",="0.002***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="Wave=2",="0.012",="0.006",="0.011",="0.012",="0.019",="0.023"
="",="(0.035)",="(0.018)",="(0.030)",="(0.025)",="(0.020)",="(0.025)"
="Wave=3",="0.027",="0.016",="0.018",="0.020",="0.008",="0.027"
="",="(0.028)",="(0.021)",="(0.030)",="(0.021)",="(0.021)",="(0.025)"
="Wave=4",="0.037",="0.044**",="0.034",="0.031",="0.037*",="0.029"
="",="(0.024)",="(0.020)",="(0.032)",="(0.029)",="(0.021)",="(0.027)"
="Wave=5",="0.043*",="0.044**",="0.051*",="0.044",="0.036*",="0.034"
="",="(0.024)",="(0.022)",="(0.028)",="(0.032)",="(0.021)",="(0.028)"
="Wave=6",="0.067***",="0.084***",="0.073**",="0.037",="0.048**",="0.021"
="",="(0.022)",="(0.018)",="(0.029)",="(0.030)",="(0.021)",="(0.031)"
="Wave=7",="0.083***",="0.083***",="0.084***",="0.113***",="0.119***",="0.093***"
="",="(0.025)",="(0.021)",="(0.032)",="(0.021)",="(0.018)",="(0.024)"
="Wave=8",="0.077***",="0.066***",="0.076**",="0.104***",="0.109***",="0.105***"
="",="(0.026)",="(0.021)",="(0.030)",="(0.023)",="(0.019)",="(0.023)"
="Wave=9",="0.109***",="0.108***",="0.109***",="0.092***",="0.096***",="0.097***"
="",="(0.028)",="(0.021)",="(0.032)",="(0.028)",="(0.024)",="(0.030)"
="Wave=10",="0.132***",="0.132***",="0.135***",="0.120***",="0.121***",="0.115***"
="",="(0.024)",="(0.019)",="(0.026)",="(0.026)",="(0.020)",="(0.026)"
="Wave=11",="0.135***",="0.124***",="0.129***",="0.120***",="0.110***",="0.116***"
="",="(0.022)",="(0.017)",="(0.027)",="(0.021)",="(0.020)",="(0.021)"
="Wave=12",="0.153***",="0.155***",="0.149***",="0.140***",="0.138***",="0.128***"
="",="(0.023)",="(0.019)",="(0.029)",="(0.022)",="(0.018)",="(0.022)"
="Wave=13",="0.138***",="0.138***",="0.143***",="0.119***",="0.131***",="0.124***"
="",="(0.025)",="(0.020)",="(0.028)",="(0.022)",="(0.020)",="(0.023)"
="Wave=14",="0.142***",="0.149***",="0.150***",="0.131***",="0.131***",="0.122***"
="",="(0.022)",="(0.018)",="(0.026)",="(0.022)",="(0.019)",="(0.024)"
="Wave=15",="0.141***",="0.156***",="0.139***",="0.135***",="0.129***",="0.132***"
="",="(0.024)",="(0.017)",="(0.029)",="(0.028)",="(0.024)",="(0.028)"
="Wave=16",="0.177***",="0.186***",="0.169***",="0.127***",="0.131***",="0.125***"
="",="(0.021)",="(0.018)",="(0.028)",="(0.027)",="(0.021)",="(0.026)"
="Wave=17",="0.156***",="0.176***",="0.167***",="0.138***",="0.145***",="0.124***"
="",="(0.023)",="(0.020)",="(0.028)",="(0.030)",="(0.022)",="(0.033)"
