
="",="(1)",="(2)",="(3)",="(4)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"

="t_q1",="0.266***",="0.267***",="0.246***",="0.243***"
="",="(0.00743)",="(0.00760)",="(0.00742)",="(0.00753)"

="t_q2",="0.259***",="0.257***",="0.272***",="0.270***"
="",="(0.00600)",="(0.00558)",="(0.00465)",="(0.00495)"

="t_q3",="0.222***",="0.220***",="0.300***",="0.302***"
="",="(0.00616)",="(0.00597)",="(0.00446)",="(0.00490)"

="t_q4",="0.132***",="0.133***",="0.268***",="0.273***"
="",="(0.00681)",="(0.00690)",="(0.00552)",="(0.00594)"

="t_q5",="0.0222*",="0.0192*",="0.175***",="0.172***"
="",="(0.00864)",="(0.00959)",="(0.00851)",="(0.00893)"

="x_q1",="0.184***",="0.117***",="0.156***",="0.129***"
="",="(0.00978)",="(0.00840)",="(0.00998)",="(0.00730)"

="x_q2",="0.172***",="0.111***",="0.148***",="0.121***"
="",="(0.00768)",="(0.00571)",="(0.00663)",="(0.00465)"

="x_q3",="0.148***",="0.109***",="0.157***",="0.125***"
="",="(0.00679)",="(0.00472)",="(0.00541)",="(0.00396)"

="x_q4",="0.115***",="0.0994***",="0.143***",="0.111***"
="",="(0.00736)",="(0.00484)",="(0.00506)",="(0.00466)"

="x_q5",="0.0875***",="0.0883***",="0.110***",="0.0850***"
="",="(0.00893)",="(0.00647)",="(0.00612)",="(0.00670)"

="b_q1",="0.0816***",="0.150***",="0.0903***",="0.114***"
="",="(0.0122)",="(0.0117)",="(0.0122)",="(0.0111)"

="b_q2",="0.0873***",="0.146***",="0.123***",="0.149***"
="",="(0.00876)",="(0.00738)",="(0.00672)",="(0.00623)"

="b_q3",="0.0739***",="0.111***",="0.143***",="0.177***"
="",="(0.00810)",="(0.00661)",="(0.00551)",="(0.00559)"

="b_q4",="0.0163",="0.0336***",="0.126***",="0.162***"
="",="(0.00896)",="(0.00747)",="(0.00618)",="(0.00707)"

="b_q5",="-0.0653***",="-0.0691***",="0.0657***",="0.0868***"
="",="(0.0106)",="(0.0100)",="(0.00937)",="(0.0111)"

="Observations",="49598",="49598",="46893",="46893"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
