
="",="(1)",="(2)"
="",="Ln real wage",="Ln real wage"

="Public Sector",="0.0770",="0.0921"
="",="(0.0140)",="(0.0131)"

="Experience",="0.0709",="0.0450"
="",="(0.00318)",="(0.00249)"

="Experience^{2}",="-0.000551",="-0.000439"
="",="(0.0000174)",="(0.0000211)"

="University",="0.109",="0.0843"
="",="(0.0175)",="(0.0172)"

="Diploma / Cert",="0.0371",="-0.000596"
="",="(0.0102)",="(0.00966)"

="1 child",="0.0104",="-0.0186"
="",="(0.00480)",="(0.00545)"

="2 children",="0.0183",="-0.0213"
="",="(0.00549)",="(0.00634)"

="3 children",="0.0285",="-0.0218"
="",="(0.00809)",="(0.00934)"

="4+ children",="0.00381",="-0.0333"
="",="(0.0141)",="(0.0176)"

="Poor health",="-0.0154",="0.00118"
="",="(0.00420)",="(0.00476)"

="Married / De Facto",="0.0486",="0.0424"
="",="(0.00627)",="(0.00760)"

="Seperated / Widowed",="0.0551",="0.0232"
="",="(0.0101)",="(0.0109)"

="Rural",="-0.0319",="-0.0175"
="",="(0.00742)",="(0.00859)"

="VIC",="-0.00516",="-0.0335"
="",="(0.0146)",="(0.0167)"

="WA",="0.0430",="-0.0139"
="",="(0.0192)",="(0.0257)"

="QLD",="-0.0403",="-0.0794"
="",="(0.0129)",="(0.0153)"

="SA",="-0.0907",="-0.0273"
="",="(0.0235)",="(0.0268)"

="NT",="0.0574",="-0.0575"
="",="(0.0253)",="(0.0321)"

="TAS",="-0.123",="-0.132"
="",="(0.0295)",="(0.0360)"

="ACT",="-0.00155",="0.0339"
="",="(0.0218)",="(0.0271)"

="Shiftwork",="0.0432",="0.0402"
="",="(0.00448)",="(0.00491)"

="Part Time",="0.0870",="0.0757"
="",="(0.00599)",="(0.00430)"

="41+ hours",="-0.104",="-0.116"
="",="(0.00333)",="(0.00475)"

="Casual",="0.00860",="0.0241"
="",="(0.00508)",="(0.00504)"

="Tenure",="0.00197",="0.00151"
="",="(0.000305)",="(0.000372)"

="Wave=1",="0",="0"
="",="(.)",="(.)"

="Wave=2",="-0.0320",="-0.0401"
="",="(0.00919)",="(0.0111)"

="Wave=3",="-0.0485",="-0.0348"
="",="(0.0105)",="(0.0117)"

="Wave=4",="-0.0636",="-0.0468"
="",="(0.0123)",="(0.0127)"

="Wave=5",="-0.0834",="-0.0553"
="",="(0.0145)",="(0.0138)"

="Wave=6",="-0.105",="-0.0509"
="",="(0.0169)",="(0.0150)"

="Wave=7",="-0.111",="-0.0341"
="",="(0.0194)",="(0.0164)"

="Wave=8",="-0.136",="-0.0549"
="",="(0.0219)",="(0.0179)"

="Wave=9",="-0.156",="-0.0706"
="",="(0.0246)",="(0.0195)"

="Wave=10",="-0.185",="-0.0764"
="",="(0.0273)",="(0.0212)"

="Wave=11",="-0.203",="-0.0884"
="",="(0.0298)",="(0.0226)"

="Wave=12",="-0.223",="-0.0936"
="",="(0.0326)",="(0.0244)"

="Wave=13",="-0.266",="-0.105"
="",="(0.0353)",="(0.0263)"

="Wave=14",="-0.302",="-0.135"
="",="(0.0381)",="(0.0281)"

="Wave=15",="-0.350",="-0.146"
="",="(0.0409)",="(0.0300)"

="Wave=16",="-0.371",="-0.153"
="",="(0.0437)",="(0.0319)"

="Wave=17",="-0.401",="-0.158"
="",="(0.0465)",="(0.0338)"

="Wave=18",="-0.426",="-0.156"
="",="(0.0494)",="(0.0358)"

="Wave=19",="-0.438",="-0.156"
="",="(0.0523)",="(0.0377)"

