
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"

="overall",="",="",="",="",="",="",="",=""
="group_1",="3.415***",="3.504***",="3.576***",="3.622***",="3.286***",="3.410***",="3.468***",="3.515***"
="",="(0.0148)",="(0.0142)",="(0.0135)",="(0.0166)",="(0.0112)",="(0.0134)",="(0.0104)",="(0.0125)"

="group_2",="3.228***",="3.329***",="3.388***",="3.413***",="3.064***",="3.138***",="3.195***",="3.250***"
="",="(0.00966)",="(0.0107)",="(0.0104)",="(0.0111)",="(0.00890)",="(0.0107)",="(0.00829)",="(0.0104)"

="difference",="0.187***",="0.176***",="0.188***",="0.209***",="0.223***",="0.272***",="0.273***",="0.265***"
="",="(0.0175)",="(0.0176)",="(0.0169)",="(0.0199)",="(0.0141)",="(0.0169)",="(0.0133)",="(0.0160)"

="explained",="0.116***",="0.129***",="0.101***",="0.111***",="0.115***",="0.124***",="0.140***",="0.115***"
="",="(0.0196)",="(0.0146)",="(0.0131)",="(0.0163)",="(0.0108)",="(0.0148)",="(0.0118)",="(0.0135)"

="unexplained",="0.0712***",="0.0469**",="0.0865***",="0.0979***",="0.108***",="0.148***",="0.132***",="0.150***"
="",="(0.0199)",="(0.0181)",="(0.0177)",="(0.0204)",="(0.0160)",="(0.0200)",="(0.0159)",="(0.0185)"

="Observations",="11015",="11038",="15315",="12230",="10074",="10501",="14409",="11909"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
