="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"
="overall",="",="",="",="",="",="",="",=""
="group_1",="3.415***",="3.504***",="3.576***",="3.622***",="3.286***",="3.410***",="3.468***",="3.515***"
="",="(0.015)",="(0.014)",="(0.014)",="(0.017)",="(0.011)",="(0.013)",="(0.010)",="(0.013)"
="group_2",="3.228***",="3.329***",="3.388***",="3.413***",="3.064***",="3.138***",="3.195***",="3.250***"
="",="(0.010)",="(0.011)",="(0.010)",="(0.011)",="(0.009)",="(0.011)",="(0.008)",="(0.010)"
="difference",="0.187***",="0.176***",="0.188***",="0.209***",="0.223***",="0.272***",="0.273***",="0.265***"
="",="(0.018)",="(0.018)",="(0.017)",="(0.020)",="(0.014)",="(0.017)",="(0.013)",="(0.016)"
="explained",="0.116***",="0.129***",="0.101***",="0.111***",="0.115***",="0.124***",="0.140***",="0.115***"
="",="(0.020)",="(0.015)",="(0.013)",="(0.016)",="(0.011)",="(0.015)",="(0.012)",="(0.014)"
="unexplained",="0.071***",="0.047***",="0.086***",="0.098***",="0.108***",="0.148***",="0.132***",="0.150***"
="",="(0.020)",="(0.018)",="(0.018)",="(0.020)",="(0.016)",="(0.020)",="(0.016)",="(0.019)"
="Observations",="11015",="11038",="15315",="12230",="10074",="10501",="14409",="11909"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
