="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"
="t_q1",="0.263***",="0.267***",="0.270***",="0.277***",="0.215***",="0.256***",="0.268***",="0.271***"
="",="(0.0165)",="(0.0152)",="(0.0128)",="(0.0145)",="(0.0145)",="(0.0170)",="(0.0142)",="(0.0179)"
="t_q2",="0.258***",="0.253***",="0.265***",="0.276***",="0.221***",="0.277***",="0.290***",="0.295***"
="",="(0.0112)",="(0.0105)",="(0.00982)",="(0.0126)",="(0.0103)",="(0.00975)",="(0.00904)",="(0.0103)"
="t_q3",="0.231***",="0.206***",="0.230***",="0.243***",="0.257***",="0.311***",="0.321***",="0.309***"
="",="(0.0110)",="(0.0107)",="(0.0101)",="(0.0141)",="(0.00915)",="(0.00909)",="(0.00889)",="(0.00997)"
="t_q4",="0.148***",="0.116***",="0.129***",="0.149***",="0.242***",="0.287***",="0.289***",="0.259***"
="",="(0.0129)",="(0.0125)",="(0.0122)",="(0.0156)",="(0.0104)",="(0.0110)",="(0.0102)",="(0.0128)"
="t_q5",="0.0297*",="0.0133",="-0.00198",="0.0491**",="0.160***",="0.172***",="0.187***",="0.160***"
="",="(0.0156)",="(0.0179)",="(0.0166)",="(0.0237)",="(0.0175)",="(0.0161)",="(0.0131)",="(0.0203)"
="x_q1",="0.117***",="0.131***",="0.118***",="0.124***",="0.109***",="0.138***",="0.129***",="0.134***"
="",="(0.0205)",="(0.0199)",="(0.0159)",="(0.0153)",="(0.0136)",="(0.0138)",="(0.0122)",="(0.0166)"
="x_q2",="0.119***",="0.122***",="0.108***",="0.110***",="0.116***",="0.121***",="0.132***",="0.116***"
="",="(0.0117)",="(0.0133)",="(0.0109)",="(0.0111)",="(0.00841)",="(0.00916)",="(0.00770)",="(0.0110)"
="x_q3",="0.128***",="0.124***",="0.0991***",="0.103***",="0.121***",="0.123***",="0.143***",="0.118***"
="",="(0.00852)",="(0.00950)",="(0.00818)",="(0.0107)",="(0.00730)",="(0.00854)",="(0.00758)",="(0.00859)"
="x_q4",="0.131***",="0.120***",="0.0827***",="0.0870***",="0.109***",="0.114***",="0.127***",="0.103***"
="",="(0.00973)",="(0.00934)",="(0.00799)",="(0.0106)",="(0.00855)",="(0.00988)",="(0.00725)",="(0.00875)"
="x_q5",="0.110***",="0.122***",="0.0692***",="0.0815***",="0.0769***",="0.0902***",="0.106***",="0.0752***"
="",="(0.0155)",="(0.0129)",="(0.0102)",="(0.0124)",="(0.0126)",="(0.0147)",="(0.0102)",="(0.0127)"
="b_q1",="0.146***",="0.136***",="0.152***",="0.154***",="0.105***",="0.117***",="0.138***",="0.137***"
="",="(0.0249)",="(0.0247)",="(0.0204)",="(0.0218)",="(0.0206)",="(0.0222)",="(0.0199)",="(0.0287)"
="b_q2",="0.139***",="0.130***",="0.157***",="0.166***",="0.105***",="0.156***",="0.158***",="0.180***"
="",="(0.0138)",="(0.0139)",="(0.0133)",="(0.0149)",="(0.0117)",="(0.0122)",="(0.0112)",="(0.0120)"
="b_q3",="0.103***",="0.0817***",="0.131***",="0.140***",="0.136***",="0.187***",="0.179***",="0.191***"
="",="(0.0124)",="(0.0108)",="(0.0110)",="(0.0135)",="(0.0109)",="(0.0122)",="(0.0101)",="(0.0113)"
="b_q4",="0.0167",="-0.00419",="0.0465***",="0.0620***",="0.133***",="0.173***",="0.162***",="0.156***"
="",="(0.0151)",="(0.0129)",="(0.0123)",="(0.0143)",="(0.0121)",="(0.0147)",="(0.0118)",="(0.0142)"
="b_q5",="-0.0804***",="-0.109***",="-0.0711***",="-0.0324",="0.0827***",="0.0814***",="0.0810***",="0.0850***"
="",="(0.0185)",="(0.0177)",="(0.0167)",="(0.0236)",="(0.0204)",="(0.0212)",="(0.0158)",="(0.0231)"
="Observations",="11015",="11038",="15315",="12230",="10074",="10501",="14409",="11909"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
