Quarter,WPI
Sep-1997,66.7
Dec-1997,67.3
Mar-1998,67.8
Jun-1998,68.2
Sep-1998,68.9
Dec-1998,69.3
Mar-1999,70
Jun-1999,70.3
Sep-1999,71
Dec-1999,71.4
Mar-2000,71.9
Jun-2000,72.3
Sep-2000,73.2
Dec-2000,73.8
Mar-2001,74.6
Jun-2001,75
Sep-2001,75.8
Dec-2001,76.4
Mar-2002,76.9
Jun-2002,77.4
Sep-2002,78.3
Dec-2002,78.9
Mar-2003,79.7
Jun-2003,80.1
Sep-2003,81.1
Dec-2003,81.9
Mar-2004,82.5
Jun-2004,82.9
Sep-2004,84
Dec-2004,84.8
Mar-2005,85.7
Jun-2005,86.3
Sep-2005,87.5
Dec-2005,88.3
Mar-2006,89.2
Jun-2006,89.9
Sep-2006,90.9
Dec-2006,91.8
Mar-2007,92.8
Jun-2007,93.5
Sep-2007,94.8
Dec-2007,95.7
Mar-2008,96.6
Jun-2008,97.5
Sep-2008,98.6
Dec-2008,99.8
Mar-2009,100.5
Jun-2009,101.1
Sep-2009,102
Dec-2009,102.7
Mar-2010,103.6
Jun-2010,104.2
Sep-2010,105.7
Dec-2010,106.6
Mar-2011,107.6
Jun-2011,108.2
Sep-2011,109.5
Dec-2011,110.5
Mar-2012,111.4
Jun-2012,112.2
Sep-2012,113.5
Dec-2012,114.3
Mar-2013,115
Jun-2013,115.5
Sep-2013,116.6
Dec-2013,117.2
Mar-2014,118
Jun-2014,118.5
Sep-2014,119.5
Dec-2014,120.2
Mar-2015,120.7
Jun-2015,121.2
Sep-2015,122.2
Dec-2015,122.7
Mar-2016,123.2
Jun-2016,123.7
Sep-2016,124.6
Dec-2016,125.1
Mar-2017,125.6
Jun-2017,126.1
Sep-2017,127.1
Dec-2017,127.7
Mar-2018,128.2
Jun-2018,128.7
Sep-2018,130
Dec-2018,130.6
Mar-2019,131.2
Jun-2019,131.8
Sep-2019,132.9
Dec-2019,133.5
Mar-2020,134.1
Jun-2020,134.1
Sep-2020,134.7
Dec-2020,135.4
Mar-2021,136.1
Jun-2021,136.5
Sep-2021,137.7
Dec-2021,138.5
Mar-2022,139.3
Jun-2022,140.1
Sep-2022,142.1
Dec-2022,143.2
Mar-2023,144.3
